40,1.1938
40.1,1.1915
40.2,1.1892
40.3,1.1869
40.4,1.1846
40.5,1.1823
40.6,1.1801
40.7,1.1778
40.8,1.1756
40.9,1.1733
41,1.1711
41.1,1.1689
41.2,1.1667
41.3,1.1645
41.4,1.1623
41.5,1.1601
41.6,1.1579
41.7,1.1557
41.8,1.1535
41.9,1.1514
42,1.1492
42.1,1.1471
42.2,1.1452
42.3,1.1428
42.4,1.1407
42.5,1.1386
42.6,1.1365
42.7,1.1344
42.8,1.1323
42.9,1.1303
43,1.1282
43.1,1.1261
43.2,1.1241
43.3,1.1221
43.4,1.1201
43.5,1.1182
43.6,1.1159
43.7,1.1139
43.8,1.1119
43.9,1.1099
44,1.1079
44.1,1.1059
44.2,1.1039
44.3,1.1029
44.4,1.1015
44.5,1.0989
44.6,1.0961
44.7,1.0941
44.8,1.0922
44.9,1.0903
45,1.0883
45.1,1.0864
45.2,1.0845
45.3,1.0826
45.4,1.0807
45.5,1.0788
45.6,1.0769
45.7,1.0751
45.8,1.0732
45.9,1.0713
46,1.0694
46.1,1.0676
46.2,1.0657
46.3,1.0639
46.4,1.0621
46.5,1.0602
46.6,1.0584
46.7,1.0566
46.8,1.0548
46.9,1.0533
47,1.0512
47.1,1.0494
47.2,1.0476
47.3,1.0458
47.4,1.0441
47.5,1.0423
47.6,1.0405
47.7,1.0388
47.8,1.0371
47.9,1.0353
48,1.0336
48.1,1.0318
48.2,1.0301
48.3,1.0284
48.4,1.0267
48.5,1.0251
48.6,1.0233
48.7,1.0216
48.8,1.0199
48.9,1.0182
49,1.0165
49.1,1.0148
49.2,1.0132
49.3,1.0115
49.4,1.0098
49.5,1.0082
49.6,1.0065
49.7,1.0049
49.8,1.0033
49.9,1.0016
50,1
50.1,0.9984
50.2,0.9968
50.3,0.9952
50.4,0.9935
50.5,0.9919
50.6,0.9904
50.7,0.9888
50.8,0.9872
50.9,0.9856
51,0.984
51.1,0.9825
51.2,0.9809
51.3,0.9793
51.4,0.9778
51.5,0.9762
51.6,0.9747
51.7,0.9731
51.8,0.9716
51.9,0.9701
52,0.9686
52.1,0.967
52.2,0.9655
52.3,0.964
52.4,0.9625
52.5,0.961
52.6,0.9595
52.7,0.958
52.8,0.9565
52.9,0.955
53,0.9536
53.1,0.9521
53.2,0.9506
53.3,0.9492
53.4,0.9477
53.5,0.9462
53.6,0.9448
53.7,0.9433
53.8,0.9419
53.9,0.9405
54,0.939
54.1,0.9376
54.2,0.9362
54.3,0.9348
54.4,0.9333
54.5,0.9319
54.6,0.9305
54.7,0.9291
54.8,0.9277
54.9,0.9263
55,0.9249
55.1,0.9235
55.2,0.9222
55.3,0.9208
55.4,0.9194
55.5,0.918
55.6,0.9167
55.7,0.9153
55.8,0.914
55.9,0.9126
56,0.9122
56.1,0.9099
56.2,0.9086
56.3,0.9072
56.4,0.9059
56.5,0.9046
56.6,0.9032
56.7,0.9019
56.8,0.9006
56.9,0.8993
57,0.898
57.1,0.8967
57.2,0.8954
57.3,0.8941
57.4,0.8928
57.5,0.8915
57.6,0.8902
57.7,0.8889
57.8,0.8876
57.9,0.8863
58,0.8851
58.1,0.8838
58.2,0.8825
58.3,0.8814
58.4,0.88
58.5,0.8788
58.6,0.8775
58.7,0.8763
58.8,0.875
58.9,0.8738
59,0.8725
59.1,0.8713
59.2,0.8701
59.3,0.8688
59.4,0.8676
59.5,0.8664
59.6,0.8653
59.7,0.864
59.8,0.8628
59.9,0.8615
60,0.8603
60.1,0.8591
60.2,0.8579
60.3,0.8568
60.4,0.8556
60.5,0.8544
60.6,0.8532
60.7,0.852
60.8,0.8508
60.9,0.8497
61,0.8485
61.1,0.8473
61.2,0.8462
61.3,0.845
61.4,0.8438
61.5,0.8427
61.6,0.8415
61.7,0.8404
61.8,0.8392
61.9,0.8381
62,0.837
62.1,0.8358
62.2,0.8347
62.3,0.8336
62.4,0.8324
62.5,0.8313
62.6,0.8302
62.7,0.8291
62.8,0.828
62.9,0.8269
63,0.8257
63.1,0.8246
63.2,0.8235
63.3,0.8224
63.4,0.8213
63.5,0.8202
63.6,0.8192
63.7,0.8181
63.8,0.817
63.9,0.8159
64,0.8148
64.1,0.8137
64.2,0.8127
64.3,0.8116
64.4,0.8105
64.5,0.8095
64.6,0.8084
64.7,0.8073
64.8,0.8063
64.9,0.8052
65,0.8042
65.1,0.8031
65.2,0.8021
65.3,0.801
65.4,0.8
65.5,0.799
65.6,0.7979
65.7,0.7969
65.8,0.7959
65.9,0.7948
66,0.7938
66.1,0.7928
66.2,0.7918
66.3,0.7908
66.4,0.7898
66.5,0.7887
66.6,0.7877
66.7,0.7867
66.8,0.7857
66.9,0.7847
67,0.7837
67.1,0.7827
67.2,0.7817
67.3,0.7807
67.4,0.7798
67.5,0.7777
67.6,0.7769
67.7,0.7761
67.8,0.7753
67.9,0.7745
68,0.7737
68.1,0.7729
68.2,0.7721
68.3,0.7713
68.4,0.7705
68.5,0.7697
68.6,0.7689
68.7,0.7682
68.8,0.7674
68.9,0.7666
69,0.7658
69.1,0.765
69.2,0.7642
69.3,0.7635
69.4,0.7627
69.5,0.7619
69.6,0.7611
69.7,0.7604
69.8,0.7596
69.9,0.7588
70,0.7581
70.1,0.7573
70.2,0.7565
70.3,0.7558
70.4,0.755
70.5,0.7543
70.6,0.7535
70.7,0.7527
70.8,0.752
70.9,0.7512
71,0.7505
71.1,0.7497
71.2,0.749
71.3,0.7482
71.4,0.7475
71.5,0.7468
71.6,0.746
